0_age,1_categorical,2_fnlwgt,3_categorical,4_categorical,5_categorical,6_categorical,7_categorical,8_categorical,9_categorical,10_capital_gain,11_capital_loss,12_hours_per_week,13_categorical,14_categorical
42.88,4,71025.45,3,2,5,0,3,6,2,0.0,0.0,52.1,3,11
30.19,0,33640.37,3,5,2,4,12,4,2,0.0,0.0,57.64,10,9
34.21,1,149765.23,3,7,5,1,6,3,1,0.0,0.0,41.0,3,10
30.18,7,58935.49,4,0,4,3,0,0,0,0.0,5027.42,51.57,3,2
62.08,6,130147.33,4,3,1,2,8,6,1,0.0,0.0,48.81,0,4
37.82,6,250791.85,2,7,0,3,3,6,2,4514.8,0.0,33.59,0,0
24.25,0,57095.54,1,7,5,1,3,6,3,0.0,0.0,15.56,3,3
48.69,2,67546.65,2,3,0,2,6,3,3,0.0,0.0,38.48,3,6
22.13,6,222261.55,4,0,3,1,3,2,3,0.0,0.0,56.29,6,1
40.72,9,173848.28,0,1,2,4,12,5,0,0.0,0.0,20.41,3,10
17.0,9,159721.49,3,3,2,1,9,5,0,0.0,0.0,31.9,10,1
20.73,9,72178.0,1,1,3,3,6,2,1,0.0,0.0,37.77,9,0
40.56,5,31292.83,1,0,0,0,3,0,1,0.0,0.0,38.08,0,4
47.6,9,55856.04,4,7,3,1,6,4,1,0.0,0.0,48.47,11,5
40.23,10,44020.71,2,2,3,3,4,4,3,0.0,0.0,45.76,10,6
36.5,4,157194.17,2,2,5,1,13,4,4,1319.96,0.0,25.63,5,10
34.09,3,123947.98,2,7,2,4,3,4,1,0.0,0.0,58.06,5,11
18.78,3,61151.3,4,7,2,1,12,1,3,0.0,0.0,40.59,0,4
28.64,2,70101.51,0,1,0,4,3,5,3,0.0,0.0,31.24,4,1
32.01,6,144425.59,2,7,5,4,5,4,1,0.0,0.0,17.12,5,5
51.74,0,76460.92,2,2,4,4,0,2,3,0.0,0.0,62.68,8,11
42.47,4,62011.97,2,7,1,4,9,3,4,0.0,0.0,19.77,5,5
17.0,7,480639.56,0,3,3,0,3,1,3,0.0,0.0,31.48,10,6
42.21,7,63595.67,2,5,0,3,4,1,2,0.0,0.0,18.67,7,7
32.99,7,168537.19,1,1,5,0,1,5,1,0.0,0.0,36.52,7,3
29.2,9,135139.19,0,4,0,4,4,1,2,0.0,0.0,36.22,9,4
45.95,4,29184.57,2,0,2,2,4,1,0,0.0,0.0,41.96,2,2
51.4,5,57342.93,2,6,2,0,2,1,0,0.0,0.0,47.2,0,7
50.11,8,190098.45,0,4,4,0,3,3,0,0.0,249.03,63.1,6,7
27.09,6,88859.68,2,5,3,0,8,5,0,0.0,0.0,57.73,1,8
33.98,2,30578.37,0,0,3,4,6,4,1,0.0,0.0,16.6,7,6
42.31,1,135346.11,0,2,0,0,11,5,2,0.0,0.0,33.23,5,8
50.68,1,61954.55,1,4,3,0,7,6,2,0.0,0.0,62.48,2,6
31.77,10,139904.28,1,7,4,0,1,2,3,0.0,0.0,56.34,10,7
35.59,6,847647.15,1,4,0,0,6,5,2,0.0,0.0,43.51,5,5
23.62,9,134047.74,0,6,1,3,0,2,2,0.0,0.0,56.11,1,0
22.45,8,161093.21,2,6,0,2,13,3,0,0.0,0.0,64.8,9,2
48.56,7,80563.77,3,4,1,0,6,2,3,0.0,0.0,33.64,10,0
55.63,1,40308.99,0,1,2,4,7,0,3,0.0,0.0,28.68,10,3
37.06,9,223941.46,1,0,0,0,13,1,1,0.0,0.0,29.39,11,2
51.05,8,60799.0,4,4,3,3,13,1,1,0.0,0.0,45.13,8,3
42.7,2,82178.96,1,3,1,1,6,1,2,0.0,0.0,42.59,0,8
29.61,10,414480.18,1,1,4,0,5,2,2,0.0,0.0,34.01,0,6
42.7,5,75345.07,2,3,5,4,9,4,3,0.0,0.0,33.08,10,10
57.99,7,260996.56,0,5,5,3,5,1,2,0.0,0.0,26.25,6,9
37.53,3,134589.21,3,7,4,3,9,4,0,0.0,0.0,16.35,9,5
58.34,9,63419.53,2,3,4,2,9,2,0,0.0,0.0,41.39,8,8
17.0,6,129719.0,1,4,0,1,0,3,1,0.0,0.0,25.42,3,11
48.68,7,55651.42,0,0,4,3,6,0,2,0.0,0.0,51.45,5,10
39.13,5,203573.03,3,0,2,1,8,1,2,0.0,0.0,58.67,2,8
34.11,2,267714.14,3,0,5,3,12,3,4,0.0,0.0,68.9,10,6
39.19,9,102662.86,2,0,1,1,13,5,3,0.0,0.0,59.47,4,9
17.0,5,288941.97,3,2,0,3,1,0,3,0.0,0.0,51.15,0,9
35.14,9,112202.33,3,0,5,1,12,6,2,0.0,0.0,47.94,1,10
42.64,5,205173.34,3,7,2,2,5,2,3,0.0,0.0,32.77,6,2
57.21,2,1046495.25,0,1,1,1,1,5,4,0.0,0.0,35.25,2,5
31.26,0,715039.17,3,2,5,3,12,3,1,3710.48,0.0,36.84,11,10
27.49,1,85302.43,4,5,5,4,0,3,3,0.0,0.0,49.12,1,11
31.48,2,124841.97,2,7,3,2,4,1,0,0.0,0.0,39.98,3,5
49.9,1,42481.98,2,2,5,0,11,1,3,0.0,0.0,47.54,0,6
42.27,5,187009.83,1,7,1,3,5,4,4,0.0,0.0,54.09,4,1
31.11,2,134776.54,4,1,2,2,5,5,2,434.94,0.0,43.02,4,4
44.67,9,53145.3,0,5,4,4,11,1,3,0.0,0.0,37.42,11,8
39.26,2,255117.32,1,6,4,0,11,2,4,0.0,0.0,53.09,4,1
50.59,3,79818.64,3,3,4,1,8,3,3,0.0,0.0,43.1,1,5
28.87,10,65073.56,0,5,1,4,5,6,1,0.0,0.0,38.04,7,10
33.74,3,135889.46,3,3,1,1,1,5,2,0.0,0.0,37.42,1,11
32.9,2,68046.18,3,2,5,3,13,2,2,0.0,0.0,58.84,3,6
18.97,4,96245.39,2,2,2,0,6,4,0,0.0,0.0,47.1,11,3
41.85,8,399113.28,2,2,1,2,0,5,1,0.0,0.0,58.3,1,5
41.39,10,60370.28,1,3,3,4,3,2,2,0.0,0.0,39.31,0,8
38.07,7,169452.44,0,4,1,2,9,5,3,0.0,0.0,63.92,7,10
34.95,8,61895.37,1,4,4,4,12,6,4,0.0,0.0,10.96,3,11
19.6,0,45317.42,2,6,1,3,3,4,4,0.0,0.0,55.9,9,7
32.53,10,92481.2,4,2,1,0,1,3,4,0.0,0.0,49.11,2,9
33.54,2,845379.93,3,1,4,3,4,4,4,0.0,0.0,47.6,7,0
27.57,0,184480.78,0,6,2,1,3,2,2,0.0,0.0,45.1,5,7
35.9,4,142863.1,0,1,1,2,9,3,4,0.0,0.0,56.63,9,5
43.25,7,64884.13,3,0,1,0,10,6,1,0.0,0.0,37.4,2,7
62.52,8,72571.94,3,2,2,0,4,5,2,0.0,0.0,17.62,0,1
40.27,5,30128.24,0,1,1,2,12,2,4,0.0,0.0,43.45,7,9
41.35,9,414997.92,3,3,5,2,8,0,0,0.0,0.0,47.94,3,3
37.03,0,122409.68,1,1,3,0,13,5,0,0.0,0.0,37.99,2,5
17.0,4,114183.19,1,5,2,3,9,0,2,0.0,0.0,22.3,5,1
37.66,2,116201.15,4,4,5,2,12,3,0,0.0,0.0,35.34,0,5
38.78,4,525507.41,3,4,2,0,12,2,0,36582.27,0.0,31.89,3,9
70.02,1,125442.2,0,2,5,4,13,4,2,0.0,0.0,46.41,9,5
35.5,10,84624.05,3,1,2,3,3,5,4,0.0,0.0,32.32,9,0
41.92,9,416353.21,2,3,1,2,9,4,0,0.0,0.0,47.8,9,2
37.55,9,88989.7,3,4,0,1,12,0,2,0.0,0.0,49.59,9,7
22.81,1,25507.63,3,1,0,3,0,3,1,0.0,0.0,51.05,2,1
52.86,7,29097.13,0,3,1,0,1,2,1,0.0,0.0,26.26,10,4
47.78,1,84679.78,4,2,4,3,2,0,3,0.0,0.0,37.92,0,6
48.28,5,124655.72,0,7,4,4,9,3,3,0.0,0.0,34.82,3,11
26.18,3,190528.38,2,6,3,3,2,5,3,0.0,0.0,44.66,2,4
56.24,9,47351.71,3,6,4,1,10,3,0,0.0,0.0,43.08,2,1
19.78,0,82437.28,2,4,4,2,13,0,1,0.0,0.0,38.25,4,8
45.63,3,51651.78,1,4,2,3,9,1,0,0.0,0.0,45.97,7,1
66.48,7,240619.29,1,0,4,4,6,4,2,0.0,0.0,44.51,8,5
25.12,4,275387.83,3,1,1,0,1,6,0,0.0,0.0,46.59,11,4
30.64,9,472886.03,3,4,5,0,4,5,0,0.0,5832.23,45.96,7,6
39.3,10,130774.27,3,3,3,4,7,3,3,0.0,0.0,22.67,8,3
31.45,0,438992.14,0,4,5,3,7,6,0,0.0,0.0,43.52,2,6
17.84,1,56708.42,2,3,0,1,0,3,2,0.0,0.0,44.36,5,3
38.89,6,117330.9,0,7,1,2,2,0,4,0.0,0.0,41.39,1,1
24.19,6,42249.37,1,0,2,4,6,5,4,0.0,2296.86,53.36,4,7
44.16,9,156164.82,2,0,1,4,4,3,0,2103.76,6739.82,27.82,10,6
26.05,6,123970.0,2,4,1,1,4,0,3,0.0,0.0,36.5,5,0
58.15,4,13862.22,4,4,1,2,5,3,0,0.0,0.0,53.34,1,7
27.82,7,239830.01,4,0,3,1,4,5,1,0.0,0.0,47.62,2,3
33.81,6,195688.62,2,1,3,4,2,1,2,0.0,0.0,61.82,6,0
48.58,4,63290.26,3,0,4,3,8,1,4,0.0,0.0,44.8,4,7
22.0,9,123620.82,4,1,3,3,4,3,2,0.0,0.0,38.61,7,8
40.96,0,29881.85,4,1,5,1,3,5,0,0.0,0.0,40.86,9,0
54.99,8,53307.04,3,5,0,1,10,0,4,0.0,0.0,35.21,5,5
17.1,7,375218.4,1,1,4,0,2,4,0,0.0,0.0,44.5,10,2
40.4,9,39203.56,2,5,3,4,12,0,2,6743.4,0.0,40.44,1,3
41.38,1,99472.55,0,3,2,1,5,5,0,0.0,0.0,37.35,6,8
48.16,2,32302.86,4,5,0,2,8,2,0,0.0,0.0,37.96,0,3
21.92,0,129360.22,4,7,5,2,6,1,4,0.0,0.0,15.72,1,6
20.83,4,154847.51,2,1,0,1,7,5,4,0.0,0.0,40.88,7,3
44.79,0,176187.52,2,4,3,2,7,5,0,0.0,0.0,63.42,3,6
41.86,6,143542.61,0,1,3,0,12,5,3,0.0,0.0,40.73,2,8
41.26,7,309114.93,0,7,0,4,1,2,0,0.0,0.0,51.28,2,10
42.5,0,63372.0,4,4,1,0,3,0,3,0.0,0.0,51.2,2,8
29.16,2,42335.46,4,5,1,0,6,6,0,0.0,0.0,54.18,11,7
41.02,3,61713.74,3,2,2,4,9,2,1,0.0,0.0,31.53,4,6
41.81,9,33624.67,4,2,3,1,12,4,1,0.0,0.0,49.54,4,6
28.71,3,105137.44,4,1,3,1,8,4,1,0.0,0.0,42.22,6,3
62.26,7,88282.99,0,0,1,1,3,6,1,0.0,1607.56,41.69,4,4
44.16,8,144643.86,0,0,5,1,3,3,0,0.0,0.0,31.73,4,5
22.51,3,27092.35,3,5,1,3,5,2,4,0.0,0.0,43.27,4,0
46.54,5,97693.48,3,1,2,3,6,1,2,0.0,0.0,47.26,5,0
25.33,2,260819.71,1,2,0,3,2,2,3,0.0,0.0,26.76,7,6
48.23,10,156026.88,3,1,4,1,6,0,0,0.0,0.0,30.86,2,9
53.06,9,21667.56,1,3,5,2,0,0,1,0.0,0.0,34.73,9,6
27.33,10,97795.4,2,0,3,2,9,5,4,0.0,0.0,19.03,4,11
50.52,7,54928.08,2,5,2,1,9,6,4,0.0,0.0,35.37,9,10
43.37,4,99736.75,2,4,2,1,8,1,0,0.0,0.0,51.42,5,5
48.69,6,72800.45,2,2,3,0,3,4,3,0.0,0.0,40.29,7,5
62.66,9,396899.0,0,1,1,0,13,2,1,0.0,0.0,47.5,1,0
34.81,1,105722.24,4,0,0,0,5,2,3,0.0,0.0,40.96,0,7
28.2,1,127186.14,0,3,1,2,7,6,2,0.0,0.0,26.98,2,7
26.44,3,95296.57,4,0,4,0,12,0,1,0.0,0.0,42.7,11,2
27.39,2,144287.12,1,1,5,1,9,2,0,0.0,0.0,42.72,10,11
37.0,0,82991.36,1,7,3,2,12,6,4,0.0,0.0,24.84,9,8
42.43,7,183288.05,4,2,5,1,12,5,0,0.0,872.46,48.44,1,4
41.6,3,72146.9,2,2,3,0,5,6,1,0.0,0.0,35.84,4,0
48.75,2,296903.57,4,3,1,3,13,5,4,0.0,0.0,42.29,6,0
38.17,2,146848.64,0,1,1,3,13,1,3,0.0,0.0,53.24,0,0
56.9,10,87374.1,4,7,2,2,7,2,3,0.0,0.0,12.85,9,6
34.56,5,193624.01,0,3,3,4,6,0,4,0.0,0.0,61.34,10,8
73.36,2,146447.76,0,7,0,4,9,6,3,0.0,0.0,32.69,3,3
46.13,4,191348.59,4,4,3,4,3,4,4,0.0,0.0,27.49,9,3
26.86,10,105724.84,4,6,3,0,13,4,4,0.0,0.0,50.25,3,8
24.08,0,81393.43,1,0,0,3,5,3,1,0.0,0.0,44.26,7,11
44.27,10,109998.38,4,2,5,0,0,5,2,0.0,0.0,35.59,9,0
35.09,0,66151.23,4,2,4,3,11,4,1,0.0,0.0,55.13,2,7
47.28,3,216092.73,4,4,5,4,7,6,1,0.0,0.0,33.27,4,0
44.15,8,319767.5,1,4,2,1,5,5,0,0.0,0.0,37.64,8,1
37.05,2,156878.99,1,5,1,1,13,5,0,0.0,0.0,27.19,9,7
26.99,7,306976.38,3,3,5,0,11,0,3,0.0,0.0,36.83,9,0
18.31,6,243164.06,3,6,5,1,3,2,2,0.0,0.0,56.12,3,11
32.2,10,79650.1,3,1,5,3,11,0,1,0.0,0.0,45.03,2,2
49.13,3,192650.7,0,3,0,2,12,3,0,0.0,0.0,48.7,1,1
40.78,7,35370.28,0,4,0,1,7,4,4,0.0,0.0,39.95,0,9
21.81,9,114560.12,1,6,4,4,10,4,2,0.0,0.0,34.21,7,8
40.25,1,38334.92,0,2,0,3,12,0,0,0.0,0.0,36.62,3,5
43.01,0,90424.93,1,2,5,2,1,6,1,0.0,0.0,33.75,9,2
26.51,5,31202.21,1,2,2,0,4,6,0,0.0,0.0,28.65,6,5
40.0,6,236911.81,0,4,1,1,3,5,3,0.0,0.0,50.4,7,9
38.76,2,71976.34,1,3,0,1,4,5,0,0.0,0.0,35.3,11,10
23.14,1,203833.35,0,4,1,1,3,4,2,0.0,2639.8,30.69,7,11
42.65,2,92928.3,1,0,1,3,5,0,3,0.0,0.0,32.94,9,1
45.29,0,22575.85,0,6,3,1,1,5,2,0.0,381.61,49.17,1,7
52.08,5,67014.9,1,6,2,0,8,4,1,0.0,0.0,35.32,1,5
51.7,2,64565.19,1,7,3,4,13,5,4,0.0,0.0,37.59,7,3
20.09,4,97555.62,4,7,5,1,4,3,2,0.0,0.0,26.33,4,7
25.81,4,329861.51,1,0,4,2,0,2,0,0.0,0.0,32.91,11,1
44.7,3,376582.87,0,4,3,3,11,4,3,0.0,0.0,36.59,7,9
44.68,9,82044.27,3,6,3,3,3,4,0,0.0,4653.83,28.29,0,6
44.7,0,36018.11,2,0,0,4,7,5,2,0.0,0.0,48.39,6,1
88.09,8,54432.3,3,0,2,0,8,4,0,0.0,0.0,60.11,7,3
45.42,7,144883.8,4,3,5,1,0,5,3,0.0,0.0,38.26,10,7
52.76,7,90527.24,0,7,5,4,9,6,0,0.0,0.0,46.58,4,1
50.4,1,27993.9,1,1,4,4,8,2,4,0.0,0.0,45.5,8,11
46.47,5,65981.25,0,5,3,3,9,2,4,0.0,0.0,52.23,3,9
33.9,6,281886.32,3,7,2,1,0,6,4,0.0,0.0,64.44,3,6
47.87,4,124717.29,3,6,2,0,4,5,1,2669.77,0.0,19.82,10,4
27.95,1,102522.05,1,0,3,0,7,2,3,0.0,0.0,39.55,5,1
34.92,1,72327.87,3,3,3,0,0,4,3,0.0,0.0,53.01,10,7
31.69,5,68325.2,3,1,4,3,12,5,2,0.0,0.0,29.31,2,11
39.06,5,152537.91,1,7,3,2,6,2,0,0.0,0.0,31.81,0,9
68.09,0,110597.04,3,5,5,3,11,1,3,0.0,2925.53,39.09,3,11
17.0,10,182921.61,1,6,2,2,0,6,0,0.0,0.0,41.59,2,5
46.92,2,152866.13,4,3,2,3,4,5,1,0.0,0.0,58.5,5,4
17.03,9,100285.47,0,0,0,3,0,4,4,0.0,0.0,36.73,0,6
31.86,0,134237.76,3,7,1,3,4,6,2,0.0,0.0,46.73,6,11
52.16,8,61449.69,0,3,2,4,0,6,1,0.0,0.0,55.61,6,4
38.84,2,94984.13,4,3,3,4,12,1,3,0.0,0.0,45.76,10,2
23.99,5,288589.44,2,4,2,0,13,3,2,0.0,0.0,51.79,2,0
28.7,2,99565.2,1,3,5,4,5,2,2,0.0,0.0,39.01,7,5
46.83,6,82971.09,0,6,4,3,12,0,3,0.0,0.0,40.35,6,8
28.51,9,116819.76,4,5,5,0,9,5,0,0.0,0.0,67.18,0,10
40.81,2,38853.12,3,0,1,3,1,5,1,0.0,0.0,48.38,1,3
38.59,6,117792.35,0,4,1,2,4,4,2,4186.23,0.0,36.48,4,8
29.53,2,383400.42,1,1,1,2,5,6,1,0.0,0.0,47.82,6,6
65.87,5,51694.6,4,4,3,4,2,4,0,0.0,0.0,29.24,4,7
46.24,6,122228.08,2,0,4,4,5,0,1,0.0,0.0,40.36,10,5
17.0,3,96877.7,0,1,4,3,3,1,1,0.0,0.0,24.21,7,0
40.42,0,94914.34,3,0,3,3,3,4,4,0.0,0.0,38.82,9,1
29.4,2,93554.35,1,4,4,3,6,4,3,0.0,0.0,42.93,2,3
49.08,4,174808.63,4,3,3,0,13,3,4,0.0,0.0,54.32,11,10
27.7,7,41007.2,4,5,1,4,9,3,0,0.0,0.0,40.04,9,10
36.51,0,171260.15,3,0,1,3,10,1,4,0.0,0.0,21.8,1,4
44.56,1,104329.31,3,7,3,1,1,3,4,0.0,0.0,24.91,10,2
49.25,1,24096.5,1,5,0,2,12,3,2,0.0,5316.94,36.73,3,11
22.4,0,133769.12,0,3,0,2,4,2,4,0.0,0.0,23.02,0,5
33.65,6,108135.02,1,1,3,0,6,2,4,0.0,0.0,10.23,10,7
31.83,8,49148.27,4,6,4,2,6,1,1,0.0,0.0,25.77,0,8
29.51,4,112247.02,1,3,5,4,1,6,0,0.0,0.0,26.71,6,4
60.95,2,34440.49,3,4,1,1,7,6,4,0.0,0.0,31.66,8,11
43.26,4,57081.59,0,3,0,1,2,6,2,5529.9,0.0,42.7,11,3
21.61,3,101679.45,4,7,4,0,12,1,4,0.0,0.0,28.5,6,10
49.93,0,25629.67,1,0,1,3,11,0,1,0.0,0.0,38.17,2,10
65.59,7,39296.55,1,2,1,1,0,1,2,0.0,0.0,52.58,1,11
51.42,0,44289.14,1,4,2,1,1,3,1,0.0,0.0,36.22,5,11
18.25,9,105170.49,2,4,3,0,11,1,3,0.0,0.0,46.61,8,8
31.7,0,140515.25,2,6,3,2,0,4,4,0.0,0.0,22.97,9,5
54.47,8,48327.6,3,7,0,4,11,5,0,0.0,0.0,43.36,1,0
28.8,9,46205.55,4,1,1,1,10,3,3,0.0,0.0,48.58,5,0
43.77,7,110248.22,0,7,0,4,8,2,1,0.0,0.0,48.2,8,9
48.07,1,107895.66,2,4,2,0,12,1,3,0.0,0.0,26.88,1,3
25.95,3,56376.57,2,6,3,3,7,0,1,3847.1,0.0,39.32,5,8
37.23,2,426333.11,4,0,5,4,7,3,1,0.0,0.0,48.55,11,2
17.0,0,114406.47,1,1,4,2,6,3,1,0.0,0.0,33.41,8,1
24.68,5,86151.96,4,7,3,3,1,0,3,0.0,0.0,20.4,7,1
34.72,8,72484.47,4,2,1,4,3,4,2,0.0,0.0,58.32,8,4
21.78,8,221253.76,4,2,3,0,8,5,0,0.0,0.0,47.42,9,5
59.22,5,152670.23,1,5,2,2,0,3,0,0.0,0.0,26.94,6,10
19.41,10,24584.82,2,7,4,0,6,6,1,0.0,0.0,54.18,4,8
32.28,2,56576.62,2,2,3,3,12,0,0,0.0,0.0,49.12,10,4
39.7,0,69048.96,1,6,5,1,11,0,0,0.0,0.0,54.65,11,4
56.74,8,97776.45,4,2,0,0,9,2,1,0.0,0.0,29.2,1,1
19.33,2,163033.0,0,1,0,2,5,0,3,0.0,0.0,26.65,4,6
53.12,8,41935.1,1,0,4,4,9,6,4,0.0,0.0,49.5,5,7
38.13,5,92639.79,1,6,0,4,10,6,3,0.0,0.0,36.4,1,8
25.24,6,384390.13,4,2,1,4,3,0,0,0.0,0.0,42.59,10,0
44.01,3,101037.63,3,2,5,0,12,6,2,0.0,0.0,40.82,2,3
40.59,0,56645.26,1,1,5,2,8,3,3,17263.96,0.0,52.76,0,7
30.2,0,33949.54,1,2,5,4,2,5,3,0.0,0.0,53.98,3,5
38.91,4,66868.17,4,3,1,2,1,1,1,0.0,0.0,33.89,4,8
32.99,1,41647.7,2,0,1,1,7,3,3,0.0,0.0,39.31,6,10
39.48,2,71992.7,2,0,2,2,6,1,2,0.0,0.0,42.03,11,8
46.61,7,152321.23,3,4,2,2,8,2,0,0.0,0.0,39.25,6,10
58.62,8,101678.1,1,3,2,2,12,3,1,34731.66,0.0,30.99,11,7
21.91,8,67237.59,1,5,1,0,3,0,3,0.0,0.0,34.62,8,2
65.73,10,23563.49,4,7,4,2,8,2,3,0.0,0.0,32.0,3,2
17.0,2,192066.32,4,6,5,2,11,5,2,0.0,0.0,33.57,5,8
36.03,10,74459.78,4,3,2,2,2,2,4,0.0,0.0,40.68,4,5
45.65,1,107622.97,0,3,3,0,1,6,4,0.0,0.0,26.61,11,2
41.65,8,47601.11,4,2,2,3,12,2,1,0.0,0.0,41.17,5,10
29.9,3,71170.59,2,7,1,4,3,1,4,0.0,0.0,35.13,2,4
35.29,9,62073.08,0,3,4,2,2,1,2,0.0,817.41,42.5,7,7
31.59,1,33957.5,4,6,0,2,0,5,0,0.0,0.0,29.44,2,3
30.34,2,47744.94,1,5,3,2,1,0,1,7908.97,0.0,39.21,4,3
49.04,9,97561.1,4,4,5,2,0,2,0,0.0,0.0,38.61,4,10
42.64,0,125349.11,2,3,2,4,6,3,1,0.0,0.0,63.36,1,6
28.99,3,57116.77,4,7,4,2,8,0,2,0.0,0.0,7.33,0,9
49.69,0,37716.04,4,0,4,3,0,2,3,0.0,0.0,39.01,11,11
41.99,1,74224.5,1,5,1,1,9,6,1,0.0,0.0,40.79,7,9
48.57,5,184186.37,1,6,1,2,8,0,2,0.0,0.0,37.26,11,7
46.19,1,46568.42,3,2,0,2,12,3,4,0.0,0.0,30.3,11,11
27.22,8,99738.37,0,7,4,4,2,0,1,0.0,0.0,46.57,6,6
30.72,5,58200.46,2,1,5,4,6,4,4,0.0,0.0,61.2,11,2
47.71,4,243484.46,1,5,1,2,5,5,0,0.0,0.0,43.88,3,6
45.93,10,65822.39,0,6,0,3,12,4,0,12735.65,0.0,36.25,11,4
37.73,9,167645.16,3,4,2,1,13,6,3,0.0,631.79,30.19,6,4
39.53,2,222360.41,0,1,4,4,1,5,3,0.0,0.0,44.74,4,8
54.61,8,338806.53,1,1,0,1,12,4,2,0.0,0.0,34.92,8,0
30.31,3,33434.72,0,2,0,0,11,5,2,0.0,0.0,53.99,5,4
45.11,7,32257.69,4,4,2,3,3,2,2,0.0,0.0,59.94,8,11
35.37,2,250740.94,3,4,5,0,10,4,2,4107.24,0.0,54.85,1,8
35.17,7,219956.96,0,5,3,1,6,4,0,0.0,0.0,28.08,9,2
52.28,2,60262.06,2,3,4,1,1,5,4,0.0,0.0,43.83,4,9
48.73,1,7408.66,1,0,4,4,6,0,1,0.0,0.0,44.04,3,8
48.58,2,105314.85,1,2,3,0,7,3,1,0.0,1119.77,47.58,8,5
54.97,5,29319.32,2,0,1,1,8,3,4,0.0,0.0,30.92,6,1
38.27,3,50911.31,0,3,4,3,12,4,0,0.0,0.0,42.29,0,6
46.87,6,114114.08,0,3,1,0,7,4,3,0.0,0.0,50.17,11,1
33.97,2,127072.7,1,6,2,1,6,0,3,24017.21,0.0,33.29,5,9
42.21,1,349777.24,0,2,5,1,4,4,1,0.0,0.0,51.68,9,6
36.31,0,73262.98,0,1,1,3,12,3,2,0.0,0.0,22.23,9,4
39.26,0,45204.77,1,6,2,4,8,5,4,3951.05,0.0,44.65,0,7
45.74,1,205629.97,3,1,0,3,9,1,1,0.0,0.0,29.19,10,10
27.36,2,133473.26,0,1,0,2,7,4,4,0.0,0.0,33.89,1,1
65.2,8,73828.08,3,2,2,2,8,5,1,0.0,0.0,42.87,10,4
24.92,7,101256.12,2,7,1,3,4,4,3,0.0,0.0,50.79,4,11
22.22,10,72953.17,1,3,4,2,10,6,1,0.0,0.0,25.22,10,0
53.06,5,171721.45,3,5,4,1,6,0,3,0.0,0.0,38.27,9,7
48.29,10,380922.64,3,0,5,1,3,1,0,0.0,0.0,21.28,8,8
46.11,0,55249.13,4,3,5,2,10,3,3,0.0,0.0,27.27,10,2
46.17,10,138235.37,2,5,2,1,12,3,4,0.0,0.0,52.2,0,0
37.84,7,29033.19,3,6,3,4,11,4,1,0.0,0.0,13.39,6,7
26.34,8,41854.4,3,6,1,4,12,3,1,0.0,0.0,42.33,2,11
38.99,2,154824.27,3,4,5,2,6,0,3,0.0,0.0,46.77,7,1
29.2,6,93309.7,0,7,0,1,12,5,2,0.0,0.0,58.42,6,5
50.68,0,40646.45,4,1,1,4,7,2,1,0.0,5566.44,36.12,4,9
